Rank,Player,Team,Bye,Pos,ESPN,Sleeper,NFL,RTSports,FFC,adp,std_name,PosBase,matched_name,matched_player_id,match_score
683.0,Harrison Mevis,,,K,,,536.0,,,536.0,harrison mevis,K,,,83
188.0,Jason Sanders,MIA,6,K,273.0,176.0,165.0,184.0,,199.4,jason sanders,K,,,82
398.0,Ty'Son Williams,,,RB,,273.0,,,,273.0,ty'son williams,RB,,,82
662.0,Michael Thomas,,,WR,500.0,,,,,500.0,michael thomas,WR,,,81
631.0,Brandon Bolden,,,RB,,,477.0,,,477.0,brandon bolden,RB,,,81
481.0,Josh Gordon,,,WR,338.0,,,,,338.0,josh gordon,WR,,,81
690.0,Spencer Shrader,IND,14,K,,,552.0,,,552.0,spencer shrader,K,,,80
399.0,Anthony Jones,,,RB,,274.0,,,,274.0,anthony jones,RB,,,80
454.0,Clayton Thorson,,,QB,,316.0,,,,316.0,clayton thorson,QB,,,79
373.0,Chase McLaughlin,TB,11,K,,,237.0,,,237.0,chase mclaughlin,K,,,79
654.0,Joe Reed,,,WR,495.0,,,,,495.0,joe reed,WR,,,79
524.0,Justin Jackson,,,RB,388.0,,,,,388.0,justin jackson,RB,,,79
517.0,Nick Foles,,,QB,384.0,,,,,384.0,nick foles,QB,,,78
903.0,Shi Smith,,,WR,,,843.0,,,843.0,shi smith,WR,,,78
931.0,Daewood Davis,,,WR,,,878.0,,,878.0,daewood davis,WR,,,77
745.0,Derrick Gore,,,RB,,,632.0,,,632.0,derrick gore,RB,,,77
203.0,Daniel Carlson,LV,10,K,195.0,214.0,157.0,237.0,,200.8,daniel carlson,K,,,77
810.0,Ricky Person Jr.,,,RB,,,719.0,,,719.0,ricky person,RB,,,77
518.0,James Turner,,,K,,,385.0,,,385.0,james turner,K,,,76
175.0,Tyler Bass,BUF,12,K,207.0,156.0,153.0,215.0,,183.4,tyler bass,K,,,76
448.0,Derek Watt,,,RB,311.0,,,,,311.0,derek watt,RB,,,76
430.0,James White,,,RB,,296.0,,,,296.0,james white,RB,,,76
236.0,Washington Commanders,DST,14,DST,236.0,201.0,215.0,,,217.3,washington commanders,DST,,,76
103.0,Justin Tucker,BAL,14,K,97.0,127.0,67.0,131.0,,108.4,justin tucker,K,,,75
738.0,Alex Hale,GB,10,K,,,622.0,,,622.0,alex hale,K,,,75
186.0,Jason Myers,SEA,10,K,226.0,209.0,179.0,198.0,,196.4,jason myers,K,,,75
385.0,Julio Jones,,,WR,326.0,,434.0,,,380.0,julio jones,WR,,,75
